"","mean","sd","median","upper_quant","lower_quant"
"Pnma.M.moment",5.81879632186386,8.65328207028945,4.75916764284939,8.70844021272303,1.86952375199022
"Pnma.T.moment",2.61162559968324,2.62033445641761,3.89365712298297,3.96853320260674,2.53674952005947
"Pnma.M.T",-7.52686525497831,3.42746570695031,-8.32438437036116,-6.23050978336681,-9.62073984197266
"Pnma.M.X",-1.83017670328704,2.39258103629297,-1.75374870283957,-0.205594951409154,-3.37833045471746
"Pnma.T.X",-55.1793180361593,8.2829938817766,-56.9812286523075,-52.0176443306997,-60.1429023577671
"P6_3mmc.M.T",-11.5214261426301,0.674158908464344,-11.3962053076891,-11.129282779996,-11.7883486703232
"energy",38.0718613269696,1.57255927356788,38.748863647535,38.9142097198772,37.9065152546274
"Delta_V",-17.355914890685,4.2362285797553,-17.0077469871594,-14.9289773696788,-19.4346845081656
