"","mean","sd","median","upper_quant","lower_quant"
"Pnma.M.moment",12.1714295583814,1.8506939448322,12.1642201277023,13.0949689072613,11.2442854941621
"Pnma.T.moment",-8.20253745511169,5.02032228269574,-7.68306065991942,-5.57260607125832,-10.5727304413689
"Pnma.M.T",-4.08499597262944,8.21062942070338,-3.38740157309894,0.183589268834993,-8.00478401432862
"Pnma.M.X",-17.336677905425,5.70447977239097,-18.4131055777601,-14.7918877450209,-20.4196819019967
"Pnma.T.X",-26.0205436057405,12.1419464237322,-23.5162505934967,-19.4211285254775,-31.3678121798816
"P6_3mmc.M.T",-21.064350636004,1.66606043449219,-21.2195410961031,-20.2728329024712,-21.9334635995863
"energy",38.7590896272273,2.19772378811271,39.2838409313513,39.9653898776647,37.815165028852
"Delta_V",0.393549051689566,2.58003163614928,-0.308896784153433,1.47158134488802,-1.03570615943039
