"","mean","sd","median","upper_quant","lower_quant"
"Pnma.M.moment",0.122315297047237,0.399132401771063,0.0836753572303905,0.311518889974792,-0.0862082657887413
"Pnma.T.moment",11.265701636903,5.88192093428762,14.0058382863079,14.6417268914985,9.25974470700993
"Pnma.M.T",7.35184656393941,18.7905421758036,6.38327522866706,16.495609086519,-2.27620162627639
"Pnma.M.X",5.18054122006625,3.44951285661093,3.29917386205057,6.23043633545365,3.18996242567101
"Pnma.T.X",35.1527988341369,10.2019283745306,35.7598675993918,40.3987524961921,30.2103795547092
"P6_3mmc.M.T",8.50028294339169,2.28329346532998,8.42775989785184,9.62336692458564,7.34093743942782
"energy",-57.2130084675233,6.74718552296262,-59.2519951844034,-54.4667448443346,-60.978765449152
"Delta_V",19.6433127792394,0.731554403833785,19.6192657736693,20.0029299900172,19.2716720656765
