"","mean","sd","median","upper_quant","lower_quant"
"Pnma.M.moment",-45.737670694179,30.1795781570685,-45.737670694179,-35.0675785100728,-56.4077628782853
"Pnma.T.moment",-3.3142983488062,1.56110898325763,-3.3142983488062,-2.76236297468985,-3.86623372292256
"Pnma.M.T",-7.60491936851605,4.36945860892622,-7.60491936851605,-6.06008246227321,-9.14975627475889
"Pnma.M.X",-23.4718773940651,17.8299795152843,-23.4718773940651,-17.1680276822278,-29.7757271059025
"Pnma.T.X",-49.1508005477867,5.07799017162942,-49.1508005477867,-47.3554599052078,-50.9461411903656
"P6_3mmc.M.T",41.8067417079793,1.24103732080834,41.8067417079793,42.2455146606039,41.3679687553547
"energy",-2.51820585393264,8.19649428299792,-2.51820585393264,0.379692490799656,-5.41610419866494
"Delta_V",3.64591624930767,1.39637167835834,3.64591624930767,4.13960819071968,3.15222430789566
