"","mean","sd","median","upper_quant","lower_quant"
"Pnma.M.moment",3.13325049907903,0.304817930545506,3.13365238917868,3.28575983752495,2.98094210568294
"Pnma.T.moment",7.81600940945636,2.16765844570627,7.93487457411482,8.92833209743779,6.76311930380416
"Pnma.M.T",29.6670879911379,2.14987678815514,29.8114432828334,30.7762962583186,28.630057369805
"Pnma.M.X",14.582984576792,3.2083690393254,12.7644731128089,15.5259791503363,12.7307342712562
"Pnma.T.X",-65.3288271663779,1.10610783271775,-65.3358535007284,-64.777538202436,-65.883629297495
"P6_3mmc.M.T",6.42405047951007,2.75126078234616,6.56614709171629,7.83382827609651,5.08532098902674
"energy",14.6101058135357,1.43075461679431,14.5975891290174,15.32233341929,13.8916198655222
"Delta_V",19.6867631223372,0.692605631296096,19.7695511624,20.0519024953906,19.3630177693152
