"","mean","sd","median","upper_quant","lower_quant"
"Pnma.M.moment",-10.4959750099992,1.1402515516677,-10.5320820643989,-9.93509041831052,-11.0749131288877
"Pnma.T.moment",-12.9797846793061,6.54160591170082,-11.3085895613993,-9.37223912060023,-15.7517326790586
"Pnma.M.T",5.75481944598249,2.59350909679718,4.40896918317293,6.57678304729953,4.25993071326067
"Pnma.M.X",-0.177293590387535,1.19309400916979,-0.171938719425953,0.420587625573773,-0.772497370868052
"Pnma.T.X",57.0728789213081,3.9732447878521,57.3988735591361,59.1359785601675,55.1727766013627
"P6_3mmc.M.T",7.90554110541943,3.05385888691312,7.99759905008591,9.45496462116299,6.40214656200911
"energy",-58.7581674783234,0.307659617886399,-58.8909884193251,-58.6486987945298,-58.9340466326179
"Delta_V",13.8521955905448,13.462770888871,13.8492876206496,20.5828539247332,7.12008327140873
