"","mean","sd","median","upper_quant","lower_quant"
"Pnma.M.moment",-35.3350945704017,1.45614082702165,-34.8807947623155,-34.5205283788844,-35.9225108578759
"Pnma.T.moment",-5.55097022560403,0.720300133951731,-5.73469609162123,-5.24564826237844,-5.94815512183823
"Pnma.M.T",0.418085859807614,6.69296235088895,1.48926203129344,4.00006084363747,-2.62830103827933
"Pnma.M.X",-4.14897601873594,5.47152942037336,-3.4403004454241,-1.25330715314135,-6.69030709767461
"Pnma.T.X",14.4408571828488,12.0630950749093,15.3386559058895,20.6843128213229,8.64630090589512
"P6_3mmc.M.T",23.1915434014614,8.41717225012264,19.3628419238442,26.1026548762138,18.3660811879004
"energy",32.2130560213819,11.26688370652,35.9854486947243,38.5475700194145,27.7647383600205
"Delta_V",-38.3989363694756,2.40553770586684,-38.8723470836316,-37.332117818177,-39.7024602778522
