"","mean","sd","median","upper_quant","lower_quant"
"Pnma.M.moment",-3.37646957147482,10.1335141782228,-2.64298617155788,-0.128553898521886,-8.84650253587644
"Pnma.T.moment",-0.630052508570856,2.61138493993094,-1.09041938345692,0.194592567722921,-1.97488495515961
"Pnma.M.T",-7.54422626112969,18.1509607396864,-7.12473395143806,7.73782982592678,-21.6719412881727
"Pnma.M.X",-8.18001855352278,6.06555145066016,-7.48852261619865,-5.906978611027,-7.92537376583105
"Pnma.T.X",-28.6669707660618,19.752180499207,-33.0268491269999,-17.3318320818802,-42.3820886438562
"P6_3mmc.M.T",8.29764264106831,10.7419967329097,13.0527128595506,15.1751059846111,5.16463241080817
"energy",10.5852659234016,22.3840010132381,9.5845824064904,27.1699723465269,3.57302032889639
"Delta_V",3.81647610876981,8.33765978130963,6.536857127513,8.13885575780328,-1.80886943572998
