"","mean","sd","median","upper_quant","lower_quant"
"Pnma.M.moment",7.04998979103701,7.13428111888046,9.66725609319178,10.7193835266081,8.62037765008125
"Pnma.T.moment",4.54941463866342,3.36794045055491,3.99612897406018,7.17543828529745,1.68385871296647
"Pnma.M.T",9.85619877982185,9.79341111979286,9.1753597906544,12.1326703682381,6.00331693625469
"Pnma.M.X",-0.42448448793873,8.99289537333216,-3.28602725036626,-1.62873900736435,-4.46453843861775
"Pnma.T.X",-0.365316550695616,7.52934523216233,-1.53347787457085,4.49166078581572,-3.41715191280662
"P6_3mmc.M.T",-5.66419432710172,9.0371721881235,-6.60994541734578,0.873794527890652,-10.9894888845695
"energy",40.8044987995081,6.59121993889537,43.4842053903195,44.6019439988376,41.690750959516
"Delta_V",21.5344223420973,12.0162911486779,22.9213851027773,28.6090304139826,9.90574984713322
