,Mn,Fe,Co,Ni,Si,Ge,Sn,Al,Ga,Theating,Tcoolilng,hysteresis
Mn(0.5)Fe(0.5)NiSi(0.945)Al(0.055),16.665,16.665,0,33.33,31.49685,0,0,1.83315,0,317,289,28
Mn(0.5)Fe(0.5)NiSi(0.94)Al(0.06),16.665,16.665,0,33.33,31.3302,0,0,1.9998,0,284,261,23
Mn(0.5)Fe(0.5)NiSi(0.935)Al(0.065),16.665,16.665,0,33.33,31.16355,0,0,2.16645,0,261,243,18
Mn(0.5)Fe(0.5)NiSi(0.93)Al(0.07),16.665,16.665,0,33.33,30.9969,0,0,2.3331,0,203,174,29
(Mn0.6Fe0.4)NiSi(0.94)Al(0.06),19.998,13.332,0,33.33,31.3302,0,0,1.9998,0,343,303,40
(Mn0.6Fe0.4)NiSi(0.93)Al(0.07),19.998,13.332,0,33.33,30.9969,0,0,2.3331,0,279,247,32
(Mn0.6Fe0.4)NiSi(0.92)Al(0.08),19.998,13.332,0,33.33,30.6636,0,0,2.6664,0,148,148,
Mn(0.85)Co(0.3)Ni(0.85)Si(0.90)Ga(0.10),28.3305,0,9.999,28.3305,29.997,0,0,0,3.333,543,543,
Mn(0.85)Co(0.3)Ni(0.85)Si(0.88)Ga(0.12),28.3305,0,9.999,28.3305,29.3304,0,0,0,3.9996,521,498,23
Mn(0.85)Co(0.3)Ni(0.85)Si(0.86)Ga(0.14),28.3305,0,9.999,28.3305,28.6638,0,0,0,4.6662,422,398,24
Mn(0.85)Co(0.3)Ni(0.85)Si(0.84)Ga(0.16),28.3305,0,9.999,28.3305,27.9972,0,0,0,5.3328,342,323,19
Mn(0.85)Co(0.3)Ni(0.85)Si(0.82)Ga(0.18),28.3305,0,9.999,28.3305,27.3306,0,0,0,5.9994,270,255,15
Mn(0.85)Co(0.3)Ni(0.85)Si(0.80)Ga(0.20),28.3305,0,9.999,28.3305,26.664,0,0,0,6.666,229,229,
MnNi(0.46)Fe(0.54)Si(0.56)Ge(0.44),33.33,17.9982,0,15.3318,18.6648,14.6652,0,0,0,286,286,
MnNi(0.46)Fe(0.54)Si(0.51)Ge(0.49),33.33,17.9982,0,15.3318,16.9983,16.3317,0,0,0,267,267,
MnNi(0.46)Fe(0.54)Si(0.46)Ge(0.54),33.33,17.9982,0,15.3318,15.3318,17.9982,0,0,0,236,217,19
MnNi(0.44)Fe(0.56)Si(0.46)Ge(0.54),33.33,18.6648,0,14.6652,15.3318,17.9982,0,0,0,193,193,
MnNi(0.45)Fe(0.55)Si(0.46)Ge(0.54),33.33,18.3315,0,14.9985,15.3318,17.9982,0,0,0,213,194,19
MnNi(0.47)Fe(0.53)Si(0.46)Ge(0.54),33.33,17.6649,0,15.6651,15.3318,17.9982,0,0,0,248,225,23
Mn(0.4)Fe(0.6)NiSi(1)Ga(0),13.332,19.998,0,33.33,33.33,0,0,0,0,445,445,
Mn(0.4)Fe(0.6)NiSi(0.98)Ga(0.02),13.332,19.998,0,33.33,32.6634,0,0,0,0.6666,407,407,
Mn(0.4)Fe(0.6)NiSi(0.96)Ga(0.04),13.332,19.998,0,33.33,31.9968,0,0,0,1.3332,341,305,36
Mn(0.4)Fe(0.6)NiSi(0.94)Ga(0.06),13.332,19.998,0,33.33,31.3302,0,0,0,1.9998,241,205,36
Mn(0.4)Fe(0.6)NiSi(0.92)Ga(0.08),13.332,19.998,0,33.33,30.6636,0,0,0,2.6664,139,134,5
Mn0.45Fe0.55NiSi(0.88)Sn(0.12),14.9985,18.3315,0,33.33,29.3304,0,3.9996,0,0,355,343,12
Mn0.45Fe0.55NiSi(0.86)Sn(0.14),14.9985,18.3315,0,33.33,28.6638,0,4.6662,0,0,332,312,20
Mn0.45Fe0.55NiSi(0.84)Sn(0.16),14.9985,18.3315,0,33.33,27.9972,0,5.3328,0,0,301,263,38
Mn0.45Fe0.55NiSi(0.82)Sn(0.18),14.9985,18.3315,0,33.33,27.3306,0,5.9994,0,0,275,248,27
(MnNiSi)0.85(FeCoGa)0.15,28.3305,4.9995,4.9995,28.3305,28.3305,0,0,0,4.9995,346.22,322.93,23.29
(MnNiSi)0.84(FeCoGa)0.16,27.9972,5.3328,5.3328,27.9972,27.9972,0,0,0,5.3328,296.22,282.73,13.49
(MnNiSi)0.83(FeCoGa)0.17,27.6639,5.6661,5.6661,27.6639,27.6639,0,0,0,5.6661,238,238,
Mn22.3Ni22.2Si16.65Fe22.2Ge16.65,22.3,22.2,0,22.2,16.65,16.65,0,0,0,,,
Mn20Ni26.7Si11Fe26.7Ga15.6,20,26.7,0,26.7,11,0,0,0,15.6,,,
