Compounds,Family,Theating,Tcooling,Tavg,Hysteresis,dTt/dP,delta_S_1T,delta_S_2T,delta_S_3T,delta_S_5T,delta_S_7T,Reference
MnNiSi(0.59)CoNiGe(0.41),MnNiSi-CoNiGe,233,208,220.5,25,,,,,,,
Mn(0.86)Ni(0.86)Fe2(0.14)Si(0.86)Ga(0.14),(MnNiSi)-(Fe2Ga),383,368,375.5,15,,,,,,,
Mn(0.85)Ni(0.85)Fe2(0.15)Si(0.85)Ga(0.15),(MnNiSi)-(Fe2Ga),329,315,322,14,,6.08,13.92,,,,
Mn(0.84)Ni(0.84)Fe2(0.16)Si(0.84)Ga(0.16),(MnNiSi)-(Fe2Ga),285,272,278.5,13,,,,,,,
Mn(0.83)Ni(0.83)Fe2(0.17)Si(0.83)Ga(0.17),(MnNiSi)-(Fe2Ga),222,222,222,0,,,,,,,
Mn(0.82)Ni(0.82)Fe2(0.18)Si(0.82)Ga(0.18),(MnNiSi)-(Fe2Ga),216,216,216,0,,,,,,,
Mn(0.64)Fe(0.36)NiGe(0.8)Si(0.2),Mn-FeNiGe-Si ,150,132,141,18,,6.5,12.81,,,,
Mn(0.64)Fe(0.36)NiGe(0.7)Si(0.3),Mn-FeNiGe-Si ,240,225,232.5,15,,6.6,13.07,,,,
Mn(0.64)Fe(0.36)NiGe(0.6)Si(0.4),Mn-FeNiGe-Si ,299,280,289.5,19,,6.07,11.33,,,,
Mn(0.64)Fe(0.36)NiGe(0.5)Si(0.5),Mn-FeNiGe-Si ,375,356,365.5,19,,4.5,10.11,,,,
Mn(0.64)Fe(0.36)NiGe(0.4)Si(0.6),Mn-FeNiGe-Si ,445,436,440.5,9,,4.24,9.24,,,,
Mn0.53Fe0.47NiSi0.53Ge0.47,Mn-FeNiGe-Si ,184,157,170.5,27,-1.6,-11.77,-27.93,-42.54,-70.21,,"Dutta, P., et al. ""Observation of colossal magnetocaloric effect and its dependence on applied hydrostatic pressure in thermally cycled Mn0. 53Fe0. 47NiSi0. 53Ge0. 47 alloy."" Journal of Alloys and Compounds 735 (20"
Mn(0.69)Ni(0.69 )Co(0.62)Si(0.69)Ge(0.31),MnNiSi-CoCoGe,385,363,374,22,,,,,,,
Mn(0.68)Ni(0.68)Co(0.64)Si(0.68)Ge(0.32),MnNiSi-CoCoGe,333,307,320,26,,4.02,8.63,,,,
Mn(0.67)Ni(0.67)Co(0.66)Si(0.67)Ge(0.33),MnNiSi-CoCoGe,275,237,256,38,,,,,,,
Mn(0.66)Ni(0.66)Co(0.68)Si(0.66)Ge(0.34),MnNiSi-CoCoGe,203,203,203,0,,,,,,,
Mn(0.65)Ni(0.65)Co(0.70)Si(0.65)Ge(0.35),MnNiSi-CoCoGe,204,204,204,0,,,,,,,
Mn(0.82)Co(0.36)Ni(0.82)Ge(0.75)Si(0.25)        ,MnNiSi-CoCoGe,312,299,305.5,13,,,,,,,"Kuang, Y., Yang, B., Xu, H., Hao, X., Li, Z., Yan, H., ... & Zuo, L. (2020). Large magnetocaloric effects in Co-doped Mn–Ni-Ge-Si alloys. Journal of Alloys and Compounds, 155313."
Mn(0.81)Co(0.38)Ni(0.81)Ge(0.75)Si(0.25) ,MnNiSi-CoCoGe,302,288,295,14,,,,,,,This paper has values but table values and figure values doesn’t match at all
Mn(0.8)Co(0.4)Ni(0.8)Ge(0.75)Si(0.25) ,MnNiSi-CoCoGe,278,267,272.5,11,,-9.59,-21.11,-29.6,-44.36,,
Mn(0.79)Co(0.42)Ni(0.79)Ge(0.75)Si(0.25) ,MnNiSi-CoCoGe,254,247,250.5,7,,,,,,,
Mn(0.78)Co(0.44)Ni(0.78)Ge(0.75)Si(0.25) ,MnNiSi-CoCoGe,236,217,226.5,19,,,,,,,
Mn(0.5)Fe(0.5)NiSi(0.955)Al(0.045),(Mn-Fe)Ni(Si-Al),357,329,343,29,,,,,,,"Biswas, A., Pathak, A. K., Zarkevich, N. A., Liu, X., Mudryk, Y., Balema, V., ... & Pecharsky, V. K. (2019). Designed materials with the giant magnetocaloric effect near room temperature. Acta Materialia, 180, 341-348."
Mn(0.5)Fe(0.5)NiSi(0.945)Al(0.055),(Mn-Fe)Ni(Si-Al),317,289,303,18,-6.8,9.38,19.59,,,,
Mn(0.5)Fe(0.5)NiSi(0.94)Al(0.06),(Mn-Fe)Ni(Si-Al),284,261,272.5,23,,10.65,20.17,,,,
Mn(0.5)Fe(0.5)NiSi(0.935)Al(0.065),(Mn-Fe)Ni(Si-Al),261,243,252,28,,11.46,21.9,,,,
Mn(0.5)Fe(0.5)NiSi(0.93)Al(0.07),(Mn-Fe)Ni(Si-Al),203,174,188.5,28,,13.42,22.07,,,,
(Mn0.6Fe0.4) NiSi(0.94)Al(0.06),(Mn-Fe)Ni(Si-Al),343,303,323,40,,,,,,,"Ghosh, S., Sen, P., & Mandal, K. (2020). Magnetostructural transition and large magnetocaloric effect in (Mn0. 6Fe0. 4) NiSi1− xAlx (x= 0.06–0.08) alloys. Journal of Magnetism and Magnetic Materials, 500, 166345."
(Mn0.6Fe0.4) NiSi(0.93)Al(0.07),(Mn-Fe)Ni(Si-Al),279,247,263,32,,5.15,9.19,11.85,15.65,20.43,
(Mn0.6Fe0.4) NiSi(0.92)Al(0.08),(Mn-Fe)Ni(Si-Al),148,148,148,0,,,,,,,
Mn(0.85)Co(0.3)Ni(0.85)Si(0.90)Ga(0.10),MnNiSi-CoCoGa,543,543,543,0,,,1.62,,3.63,,
Mn(0.85)Co(0.3)Ni(0.85)Si(0.88)Ga(0.12),MnNiSi-CoCoGa,521,498,509.5,23,,,7.71,,19.21,,
Mn(0.85)Co(0.3)Ni(0.85)Si(0.86)Ga(0.14),MnNiSi-CoCoGa,422,398,410,24,,,11.59,,29.57,,
Mn(0.85)Co(0.3)Ni(0.85)Si(0.84)Ga(0.16),MnNiSi-CoCoGa,342,323,332.5,19,,,11.26,,28.3,,
Mn(0.85)Co(0.3)Ni(0.85)Si(0.82)Ga(0.18),MnNiSi-CoCoGa,270,255,262.5,15,,,9.65,,23.02,,
Mn(0.85)Co(0.3)Ni(0.85)Si(0.80)Ga(0.20),MnNiSi-CoCoGa,229,229,229,0,,,1.22,,2.36,,
Mn0.66Fe0.34Ni0.66Fe0.34Si0.66Ge0.34,Mn-FeNi-FeSi-Ge,310,291,,,,-7.92,-18.7,-28.73,-44.84,,
MnNi(0.46)Fe(0.54)Si(0.56)Ge(0.44),MnNi-FeSi-Ge,286,286,286,0,,,,,,,
